dot,old
demographics.WHITE.HM.age.4.min,
demographics.WHITE.HM.age.4.max,
demographics.WHITE.HM.age.5,
demographics.WHITE.HM.age.5.prob,
demographics.WHITE.HM.age.5.min,
demographics.WHITE.HM.age.5.max,
demographics.WHITE.HF,
demographics.WHITE.HF.ppl,
demographics.WHITE.HF.hiv,
demographics.WHITE.HF.hiv.init,
demographics.WHITE.HF.hiv.dx,
demographics.WHITE.HF.hiv.dx.init,
demographics.WHITE.HF.hiv.dx.prob,
demographics.WHITE.HF.aids,
demographics.WHITE.HF.aids.init,
demographics.WHITE.HF.haart,
demographics.WHITE.HF.haart.init,
demographics.WHITE.HF.haart.prob,
demographics.WHITE.HF.haart.adherence,
demographics.WHITE.HF.haart.discontinue,
demographics.WHITE.HF.incar,
demographics.WHITE.HF.incar.init,
demographics.WHITE.HF.incar.prob,
demographics.WHITE.HF.num_partners,
demographics.WHITE.HF.num_needle_acts,
demographics.WHITE.HF.safe_sex,
demographics.WHITE.HF.needle_sharing,
demographics.WHITE.HF.prep,
demographics.WHITE.HF.prep.discontinue,PrEP_disc
demographics.WHITE.HF.prep.adherence,PrEP_Adherence
demographics.WHITE.HF.prep.coverage,
demographics.WHITE.HF.high_risk,
demographics.WHITE.HF.high_risk.init,
demographics.WHITE.HF.vaccine,
demographics.WHITE.HF.vaccine.init,
demographics.WHITE.HF.vaccine.prob,
demographics.WHITE.HF.vaccine.booster,flag_booster
demographics.WHITE.HF.vaccine.booster.interval,
demographics.WHITE.HF.vaccine.booster.prob,
demographics.WHITE.HF.assort_mix,
demographics.WHITE.HF.assort_mix.coefficient,AssortMixCoeff
demographics.WHITE.HF.age,
demographics.WHITE.HF.age.1,
demographics.WHITE.HF.age.1.prob,
demographics.WHITE.HF.age.1.min,
demographics.WHITE.HF.age.1.max,
demographics.WHITE.HF.age.2,
demographics.WHITE.HF.age.2.prob,
demographics.WHITE.HF.age.2.min,
demographics.WHITE.HF.age.2.max,
demographics.WHITE.HF.age.3,
demographics.WHITE.HF.age.3.prob,
demographics.WHITE.HF.age.3.min,
demographics.WHITE.HF.age.3.max,
demographics.WHITE.HF.age.4,
demographics.WHITE.HF.age.4.prob,
demographics.WHITE.HF.age.4.min,
demographics.WHITE.HF.age.4.max,
demographics.WHITE.HF.age.5,
demographics.WHITE.HF.age.5.prob,
demographics.WHITE.HF.age.5.min,
demographics.WHITE.HF.age.5.max,
demographics.WHITE.WSW,
demographics.WHITE.WSW.ppl,
demographics.WHITE.WSW.hiv,
demographics.WHITE.WSW.hiv.init,
demographics.WHITE.WSW.hiv.dx,
demographics.WHITE.WSW.hiv.dx.init,
demographics.WHITE.WSW.hiv.dx.prob,
demographics.WHITE.WSW.aids,
demographics.WHITE.WSW.aids.init,
demographics.WHITE.WSW.haart,
demographics.WHITE.WSW.haart.init,
demographics.WHITE.WSW.haart.prob,
demographics.WHITE.WSW.haart.adherence,
demographics.WHITE.WSW.haart.discontinue,
demographics.WHITE.WSW.incar,
demographics.WHITE.WSW.incar.init,
demographics.WHITE.WSW.incar.prob,
demographics.WHITE.WSW.num_partners,
demographics.WHITE.WSW.num_needle_acts,
demographics.WHITE.WSW.safe_sex,
demographics.WHITE.WSW.needle_sharing,
demographics.WHITE.WSW.prep,
demographics.WHITE.WSW.prep.discontinue,PrEP_disc
demographics.WHITE.WSW.prep.adherence,PrEP_Adherence
demographics.WHITE.WSW.prep.coverage,
demographics.WHITE.WSW.high_risk,
demographics.WHITE.WSW.high_risk.init,
demographics.WHITE.WSW.vaccine,
demographics.WHITE.WSW.vaccine.init,
demographics.WHITE.WSW.vaccine.prob,
demographics.WHITE.WSW.vaccine.booster,flag_booster
demographics.WHITE.WSW.vaccine.booster.interval,
demographics.WHITE.WSW.vaccine.booster.prob,
demographics.WHITE.WSW.assort_mix,
demographics.WHITE.WSW.assort_mix.coefficient,AssortMixCoeff
demographics.WHITE.WSW.age,
demographics.WHITE.WSW.age.1,
demographics.WHITE.WSW.age.1.prob,
demographics.WHITE.WSW.age.1.min,
demographics.WHITE.WSW.age.1.max,
demographics.WHITE.WSW.age.2,
demographics.WHITE.WSW.age.2.prob,
demographics.WHITE.WSW.age.2.min,
demographics.WHITE.WSW.age.2.max,
demographics.WHITE.WSW.age.3,
demographics.WHITE.WSW.age.3.prob,
demographics.WHITE.WSW.age.3.min,
demographics.WHITE.WSW.age.3.max,
demographics.WHITE.WSW.age.4,
demographics.WHITE.WSW.age.4.prob,
demographics.WHITE.WSW.age.4.min,
demographics.WHITE.WSW.age.4.max,
demographics.WHITE.WSW.age.5,
demographics.WHITE.WSW.age.5.prob,
demographics.WHITE.WSW.age.5.min,
demographics.WHITE.WSW.age.5.max,
demographics.WHITE.MTF,
demographics.WHITE.MTF.ppl,
demographics.WHITE.MTF.hiv,
demographics.WHITE.MTF.hiv.init,
demographics.WHITE.MTF.hiv.dx,
demographics.WHITE.MTF.hiv.dx.init,
demographics.WHITE.MTF.hiv.dx.prob,
demographics.WHITE.MTF.aids,
demographics.WHITE.MTF.aids.init,
demographics.WHITE.MTF.haart,
demographics.WHITE.MTF.haart.init,
demographics.WHITE.MTF.haart.prob,
demographics.WHITE.MTF.haart.adherence,
demographics.WHITE.MTF.haart.discontinue,
demographics.WHITE.MTF.incar,
demographics.WHITE.MTF.incar.init,
demographics.WHITE.MTF.incar.prob,
demographics.WHITE.MTF.num_partners,
demographics.WHITE.MTF.num_needle_acts,
demographics.WHITE.MTF.safe_sex,
demographics.WHITE.MTF.needle_sharing,
demographics.WHITE.MTF.prep,
demographics.WHITE.MTF.prep.discontinue,PrEP_disc
demographics.WHITE.MTF.prep.adherence,PrEP_Adherence
demographics.WHITE.MTF.prep.coverage,
demographics.WHITE.MTF.high_risk,
demographics.WHITE.MTF.high_risk.init,
demographics.WHITE.MTF.vaccine,
demographics.WHITE.MTF.vaccine.init,
demographics.WHITE.MTF.vaccine.prob,
demographics.WHITE.MTF.vaccine.booster,flag_booster
demographics.WHITE.MTF.vaccine.booster.interval,
demographics.WHITE.MTF.vaccine.booster.prob,
demographics.WHITE.MTF.assort_mix,
demographics.WHITE.MTF.assort_mix.coefficient,AssortMixCoeff
demographics.WHITE.MTF.age,
demographics.WHITE.MTF.age.1,
demographics.WHITE.MTF.age.1.prob,
demographics.WHITE.MTF.age.1.min,
demographics.WHITE.MTF.age.1.max,
demographics.WHITE.MTF.age.2,
demographics.WHITE.MTF.age.2.prob,
demographics.WHITE.MTF.age.2.min,
demographics.WHITE.MTF.age.2.max,
demographics.WHITE.MTF.age.3,
demographics.WHITE.MTF.age.3.prob,
demographics.WHITE.MTF.age.3.min,
demographics.WHITE.MTF.age.3.max,
demographics.WHITE.MTF.age.4,
demographics.WHITE.MTF.age.4.prob,
demographics.WHITE.MTF.age.4.min,
demographics.WHITE.MTF.age.4.max,
demographics.WHITE.MTF.age.5,
demographics.WHITE.MTF.age.5.prob,
demographics.WHITE.MTF.age.5.min,
demographics.WHITE.MTF.age.5.max,
